Field Leader Initials,Year,Date,Loc.,Sex,Age,Pup?,New Mark 1?,Mark 1,Mark 1 Position ,New Mark 2?,Mark 2,Mark 2 Position,New Tag1?,Tag1 #,Tag 1 Pos. ,New Tag2?,Tag2 #,Tag 2 Pos. ,Molt (%),Season,St. Length,Crv. Length,Ax. Girth,Mass,Tare,Mass-Tare,Last seen as P,1st seen as W,Range (days),Comments,Entered in Ano 
CC,2019,2/2/2019,LTC,M,W,,N,H9,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/2/2019,LTC,,30,,Y,X36,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/2/2019,LTC,,W,,N,X29,R,,,,,,,,,,,,,,,,,,02/01/2019,02/02/2019,,,
CC,2019,2/2/2019,ALLn,M,28,,N,H13,L,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/2/2019,ALLn,,W,,N,H21,L,,,,,,,,,,,,,,,,,,1/31/2019,02/02/2019,,,
CC,2019,2/2/2019,ALLn,M,A,,N,PBH10,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/2/2019,ALLn,M,SA4,,N,PBA11,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/2/2019,ALLn,,W,,N,M29,R,,,,,,,,,,,,,,,,,,1/27/2019,02/02/2019,,,
CC,2019,2/2/2019,ALLn,M,A,,N,PBM19,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/2/2019,ALLn,,25,,Y,H22,R,,,,,,,,,,,,,,,,,,,,,Clarol Bleach. mark was very dark - hard to see. ,
CC,2019,2/2/2019,ALLs,,29,,Y,H23,R,,,,,,,,,,,,,,,,,,,,,Clarol Bleach. mark was very dark - hard to see. ,
CC,2019,2/2/2019,ALLs,,31,,N,_22,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/2/2019,ALLn,,30,,Y,H24,R,,,,,,,,,,,,,,,,,,,,,Clarol Bleach. mark was very dark - hard to see. ,
CC,2019,2/2/2019,ALLn,M,A,,N,PBM25,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/2/2019,ALLn,M,SA4,,N,PBM20,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/2/2019,ALLn,,30,,Y,H25,L,,,,,,,,,,,,,,,,,,,,,Clarol Bleach. mark was very dark - hard to see. ,
CC,2019,2/2/2019,ALLs,,W,,N,H21,R,,,,,,,,,,,,,,,,,,01/31/2019,02/02/2019,,Mark Upside Down,
CC,2019,2/2/2019,ALLs,M,A,,N,PBX85,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/2/2019,ALLs,,30,,Y,H26,R,,,,,,,,,,,,,,,,,,,,,Clarol Bleach. mark was very dark - hard to see. ,
CC,2019,2/2/2019,ALLs,M,A,,N,PBX88,R,,,,,,,,,,,,,,,,,,,,,,
CC,2019,2/2/2019,ALLs,,24,,Y,H27,R,,,,,,,,,,,,,,,,,,,,,Clarol Bleach. mark was very dark - hard to see. ,
CC,2019,2/2/2019,ALLs,,30,,Y,H28,L,,,,,,,,,,,,,,,,,,,,,Clarol Bleach. mark was very dark - hard to see. ,
CC,2019,2/2/2019,ALLn,,29,,Y,H29,R,,,,,,,,,,,,,,,,,,,,,Clarol Bleach. mark was very dark - hard to see. ,
MV,2019,2/4/2019,ALLn,M,SA4,,Y,PBA2,L,,,,,,,,,,,,,,,,,,,,,,
MV,2019,2/4/2019,ALLn,M,A,,N,PBH6,L,,,,,,,,,,,,,,,,,,,,,Alpha,
MV,2019,2/4/2019,ALLn,M,A,,N,PBM23,L,N,PBX88,R,,,,,,,,,,,,,,,,,,,
MV,2019,2/4/2019,ALLn,,24,,N,M28,L,,,,,,,,,,,,,,,,,,,,,,
MV,2019,2/4/2019,ALLn,M,SA4,,Y,PBA4,R,,,,,,,,,,,,,,,,,,,,,Two marks both incomplete (PBA) (A4),
MV,2019,2/4/2019,ALLn,M,SA4,,Y,PBA5,L,,,,,,,,,,,,,,,,,,,,,,
MV,2019,2/4/2019,ALLn,M,A,,N,HBH7,R,,,,,,,,,,,,,,,,,,,,,7 is backwards (Alpha),
MV,2019,2/4/2019,ALLn,M,SA4,,Y,PBA6,L,,,,,,,,,,,,,,,,,,,,,Charlie,
MV,2019,2/4/2019,ALLs,M,A,,N,PBH10,R,,,,,,,,,,,,,,,,,,,,,Beta,
MV,2019,2/4/2019,ALLs,M,,,N,PBM25,R,,,,,,,,,,,,,,,,,,,,,Beta,
MV,2019,2/4/2019,ALLs,M,SA4,,N,PBA4_,R,,,,,,,,,,,,,,,,,,,,,"Beta, PROBABLY PBA41",
MV,2019,2/4/2019,ALLs,M,A,,N,PBH9,R,,,,,,,,,,,,,,,,,,,,,Alpha,
